,loss,components,epochs,time,pak,pak_time,recall,recall_time,auc,auc_time
0,warp,5,5,0.0,0.047398496,0.0,0.012482661546113183,0.0,0.7162696,0.0
1,warp,5,10,0.0,0.049804512,0.0,0.013716687942707998,0.0,0.74543947,0.0
2,warp,5,15,0.0,0.050691728,0.0,0.014017704471580485,0.0,0.7581806,0.0
3,warp,5,20,0.0,0.051248122,0.0,0.014097953458218978,0.0,0.7664538,0.0
4,warp,5,25,0.0,0.05150376,0.0,0.01414120114178385,0.0,0.7718415,0.0
5,warp,5,30,0.0,0.05159398,0.0,0.014244339646503894,0.0,0.77548826,0.0
6,warp,10,5,0.0,0.05022556,0.0,0.013374199478601405,0.0,0.75374895,0.0
7,warp,10,10,0.0,0.05206015,0.0,0.01407567191056649,0.0,0.777081,0.0
8,warp,10,15,0.0,0.053037595,0.0,0.01440047988751727,0.0,0.78914475,0.0
9,warp,10,20,0.0,0.05324812,0.0,0.014453490009302357,0.0,0.79436886,0.0
10,warp,10,25,0.0,0.053368423,0.0,0.014551731815924396,0.0,0.7979871,0.0
11,warp,10,30,0.0,0.053624056,0.0,0.014688846473251953,0.0,0.8006678,0.0
12,warp,15,5,0.0,0.051819544,0.0,0.014017616508896184,0.0,0.7679047,0.0
13,warp,15,10,0.0,0.053338345,0.0,0.014326284459430919,0.0,0.79264283,0.0
14,warp,15,15,0.0,0.053654134,0.0,0.014347932257185584,0.0,0.801061,0.0
15,warp,15,20,0.0,0.05381955,0.0,0.014450034663253888,0.0,0.80528337,0.0
16,warp,15,25,0.0,0.0537594,0.0,0.014435154966916653,0.0,0.80703026,0.0
17,warp,15,30,0.0,0.05374436,0.0,0.014460288968196401,0.0,0.80777335,0.0
18,warp,20,5,0.0,0.051699243,0.0,0.013847821195956312,0.0,0.76862985,0.0
19,warp,20,10,0.0,0.053022556,0.0,0.014252499211757882,0.0,0.7900208,0.0
20,warp,20,15,0.0,0.05348872,0.0,0.014382892417695366,0.0,0.8000687,0.0
21,warp,20,20,0.0,0.053609025,0.0,0.014413434441826063,0.0,0.8059999,0.0
22,warp,20,25,0.0,0.053578943,0.0,0.014759695480913146,0.0,0.80929404,0.0
23,warp,20,30,1.0,0.05369925,0.0,0.01456536569214871,0.0,0.8100455,0.0
24,warp,25,5,0.0,0.05204511,0.0,0.014472843852181966,0.0,0.7786002,0.0
25,warp,25,10,0.0,0.05350375,0.0,0.015052141925031046,0.0,0.80183756,0.0
26,warp,25,15,0.0,0.053714287,0.0,0.015150738662631797,0.0,0.8091171,0.0
